id,Q246,Q246_6_TEXT,Team_id,remove_team,self_leader,self_leader_2,self_leader_3,squestion,alter_id,Q13,Q14,Q15,Q16,Q17,Q82,Q83,Q84,Q85,Q86,Q89,Q90,Q91,Q92,Q93
428,4,NA,2_3_12,0,TRUE,TRUE,TRUE,2,168,5,6,6,NA,FALSE,7,7,7,1,FALSE,7,7,7,NA,FALSE
428,4,NA,2_3_12,0,TRUE,TRUE,TRUE,4,vero2_3_12,NA,NA,NA,NA,NA,3,3,3,6,FALSE,NA,NA,3,5,FALSE
140,2,NA,2_3_12,0,FALSE,FALSE,FALSE,1,168,7,7,7,1,FALSE,7,7,7,1,FALSE,7,7,7,1,FALSE
140,2,NA,2_3_12,0,FALSE,FALSE,FALSE,2,428,7,7,7,1,TRUE,7,7,7,1,TRUE,7,7,7,1,TRUE
140,2,NA,2_3_12,0,FALSE,FALSE,FALSE,4,vero2_3_12,NA,NA,NA,NA,NA,4,5,3,4,FALSE,4,6,4,3,FALSE
168,5,NA,2_3_12,0,FALSE,TRUE,TRUE,1,428,7,7,7,1,TRUE,7,7,7,NA,TRUE,7,7,7,NA,TRUE
168,5,NA,2_3_12,0,FALSE,TRUE,TRUE,2,140,7,6,7,1,FALSE,7,7,7,NA,TRUE,7,7,7,NA,TRUE
168,5,NA,2_3_12,0,FALSE,TRUE,TRUE,4,vero2_3_12,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,NA,NA,NA,7,FALSE
691,2,NA,3_4_12,0,TRUE,TRUE,TRUE,1,114,5,5,6,2,TRUE,5,5,5,2,TRUE,6,6,5,2,TRUE
691,2,NA,3_4_12,0,TRUE,TRUE,TRUE,4,vero3_4_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,3,5,4,2,FALSE
114,1,NA,3_4_12,0,TRUE,TRUE,TRUE,1,691,6,5,6,1,FALSE,6,5,7,1,TRUE,7,6,7,1,TRUE
114,1,NA,3_4_12,0,TRUE,TRUE,TRUE,4,vero3_4_12,NA,NA,NA,NA,NA,2,1,1,4,FALSE,1,2,1,6,FALSE
652,4,NA,3_5_12,0,TRUE,TRUE,TRUE,1,683,7,7,7,1,TRUE,7,7,7,NA,TRUE,7,7,6,NA,TRUE
652,4,NA,3_5_12,0,TRUE,TRUE,TRUE,4,vero3_5_12,NA,NA,NA,NA,NA,5,6,6,2,TRUE,7,7,7,2,TRUE
683,4,NA,3_5_12,0,TRUE,TRUE,TRUE,1,652,7,7,7,7,TRUE,7,7,7,7,TRUE,7,7,7,7,TRUE
683,4,NA,3_5_12,0,TRUE,TRUE,TRUE,4,vero3_5_12,NA,NA,NA,NA,NA,7,7,7,7,TRUE,7,7,7,7,TRUE
208,1,NA,3_6_12,0,TRUE,TRUE,TRUE,1,147 (175),6,6,5,NA,FALSE,6,6,6,NA,TRUE,6,6,6,NA,TRUE
208,1,NA,3_6_12,0,TRUE,TRUE,TRUE,4,vero3_6_12,NA,NA,NA,NA,NA,4,5,6,NA,TRUE,5,5,5,NA,TRUE
